index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.042731	 0.000000	 5.204950	 0.000000	 5.204950	 0.000000
  1	  0	  1	  0	-0.001262	 0.023024	-0.153717	 2.804529	 2.808739	 1.625552
  2	  0	 -1	  0	-0.001262	-0.023024	-0.153717	-2.804529	 2.808739	-1.625552
  3	  1	  0	  0	-0.163701	 0.010694	-19.940021	 1.302613	19.982523	 3.076359
  4	 -1	  0	  0	-0.163701	-0.010694	-19.940021	-1.302613	19.982523	-3.076359
  5	  0	 -2	  0	-0.017884	 0.102792	-2.178444	12.520893	12.708988	 1.743057
  6	  1	 -1	  0	-0.118180	-0.107670	-14.395278	-13.115033	19.473781	-2.402698
  7	 -1	 -1	  0	-0.021760	-0.033207	-2.650493	-4.044882	 4.835927	-2.150868
  8	  0	  2	  0	-0.017884	-0.102792	-2.178444	-12.520893	12.708988	-1.743057
  9	  1	  1	  0	-0.021760	 0.033207	-2.650493	 4.044882	 4.835927	 2.150868
 10	 -1	  1	  0	-0.118180	 0.107670	-14.395278	13.115033	19.473781	 2.402698
 11	 -2	  0	  0	 0.000713	-0.075999	 0.086801	-9.257194	 9.257601	-1.561420
 12	  2	  0	  0	 0.000713	 0.075999	 0.086801	 9.257194	 9.257601	 1.561420
