index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.025420	 0.000000	-3.096322	 0.000000	 3.096322	 3.141593
  1	  0	  1	  0	-0.009897	-0.068594	-1.205538	-8.355225	 8.441748	-1.714093
  2	  0	 -1	  0	-0.009897	 0.068594	-1.205538	 8.355225	 8.441748	 1.714093
  3	  1	  0	  0	 0.027561	-0.098994	 3.357104	-12.058241	12.516842	-1.299265
  4	 -1	  0	  0	 0.027561	 0.098994	 3.357104	12.058241	12.516842	 1.299265
  5	  0	 -2	  0	-0.101272	 0.001065	-12.335639	 0.129786	12.336321	 3.131072
  6	  1	 -1	  0	 0.090523	 0.017377	11.026379	 2.116680	11.227705	 0.189658
  7	 -1	 -1	  0	-0.066250	 0.019797	-8.069711	 2.411439	 8.422308	 2.851213
  8	  0	  2	  0	-0.101272	-0.001065	-12.335639	-0.129786	12.336321	-3.131072
  9	  1	  1	  0	-0.066250	-0.019797	-8.069711	-2.411439	 8.422308	-2.851213
 10	 -1	  1	  0	 0.090523	-0.017377	11.026379	-2.116680	11.227705	-0.189658
 11	 -2	  0	  0	-0.017304	 0.060347	-2.107783	 7.350760	 7.646988	 1.850047
 12	  2	  0	  0	-0.017304	-0.060347	-2.107783	-7.350760	 7.646988	-1.850047
