index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.172438	 0.000000	21.004269	 0.000000	21.004269	 0.000000
  1	  0	  1	  0	-0.031836	-0.045901	-3.877908	-5.591147	 6.804344	-2.177201
  2	  0	 -1	  0	-0.031836	 0.045901	-3.877908	 5.591147	 6.804344	 2.177201
  3	  1	  0	  0	 0.129162	-0.033374	15.732964	-4.065216	16.249681	-0.252858
  4	 -1	  0	  0	 0.129162	 0.033374	15.732964	 4.065216	16.249681	 0.252858
  5	  0	 -2	  0	-0.012238	-0.081939	-1.490650	-9.980784	10.091485	-1.719052
  6	  1	 -1	  0	 0.118330	-0.049337	14.413525	-6.009598	15.616176	-0.395025
  7	 -1	 -1	  0	-0.009176	-0.076656	-1.117657	-9.337262	 9.403915	-1.689928
  8	  0	  2	  0	-0.012238	 0.081939	-1.490650	 9.980784	10.091485	 1.719052
  9	  1	  1	  0	-0.009176	 0.076656	-1.117657	 9.337262	 9.403915	 1.689928
 10	 -1	  1	  0	 0.118330	 0.049337	14.413525	 6.009598	15.616176	 0.395025
 11	 -2	  0	  0	-0.033025	 0.087007	-4.022719	10.598115	11.335886	 1.933567
 12	  2	  0	  0	-0.033025	-0.087007	-4.022719	-10.598115	11.335886	-1.933567
