index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.051980	 0.000000	-6.331554	 0.000000	 6.331554	 3.141593
  1	  0	  1	  0	-0.117246	 0.031603	-14.281501	 3.849525	14.791218	 2.878304
  2	  0	 -1	  0	-0.117246	-0.031603	-14.281501	-3.849525	14.791218	-2.878304
  3	  1	  0	  0	 0.085513	-0.086525	10.416079	-10.539376	14.818001	-0.791282
  4	 -1	  0	  0	 0.085513	 0.086525	10.416079	10.539376	14.818001	 0.791282
  5	  0	 -2	  0	-0.124519	 0.034895	-15.167379	 4.250416	15.751681	 2.868367
  6	  1	 -1	  0	-0.046788	 0.018965	-5.699157	 2.310083	 6.149543	 2.756493
  7	 -1	 -1	  0	-0.023833	 0.048146	-2.903074	 5.864506	 6.543720	 2.030456
  8	  0	  2	  0	-0.124519	-0.034895	-15.167379	-4.250416	15.751681	-2.868367
  9	  1	  1	  0	-0.023833	-0.048146	-2.903074	-5.864506	 6.543720	-2.030456
 10	 -1	  1	  0	-0.046788	-0.018965	-5.699157	-2.310083	 6.149543	-2.756493
 11	 -2	  0	  0	-0.033172	 0.137335	-4.040608	16.728502	17.209570	 1.807797
 12	  2	  0	  0	-0.033172	-0.137335	-4.040608	-16.728502	17.209570	-1.807797
