index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.006186	 0.000000	 0.753457	 0.000000	 0.753457	 0.000000
  1	  0	  1	  0	 0.042099	 0.028990	 5.127974	 3.531218	 6.226204	 0.603047
  2	  0	 -1	  0	 0.042099	-0.028990	 5.127974	-3.531218	 6.226204	-0.603047
  3	  1	  0	  0	-0.027861	-0.068224	-3.393713	-8.310161	 8.976417	-1.958507
  4	 -1	  0	  0	-0.027861	 0.068224	-3.393713	 8.310161	 8.976417	 1.958507
  5	  0	 -2	  0	 0.063845	 0.091838	 7.776748	11.186506	13.624086	 0.963306
  6	  1	 -1	  0	 0.056255	-0.026678	 6.852254	-3.249599	 7.583751	-0.442826
  7	 -1	 -1	  0	-0.029337	-0.009335	-3.573431	-1.137014	 3.749961	-2.833537
  8	  0	  2	  0	 0.063845	-0.091838	 7.776748	-11.186506	13.624086	-0.963306
  9	  1	  1	  0	-0.029337	 0.009335	-3.573431	 1.137014	 3.749961	 2.833537
 10	 -1	  1	  0	 0.056255	 0.026678	 6.852254	 3.249599	 7.583751	 0.442826
 11	 -2	  0	  0	-0.118797	-0.053850	-14.470415	-6.559352	15.887668	-2.716003
 12	  2	  0	  0	-0.118797	 0.053850	-14.470415	 6.559352	15.887668	 2.716003
