index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.146994	 0.000000	-17.905027	 0.000000	17.905027	 3.141593
  1	  0	  1	  0	-0.038548	 0.072892	-4.695459	 8.878756	10.043886	 2.057250
  2	  0	 -1	  0	-0.038548	-0.072892	-4.695459	-8.878756	10.043886	-2.057250
  3	  1	  0	  0	-0.098625	-0.045216	-12.013321	-5.507678	13.215688	-2.711722
  4	 -1	  0	  0	-0.098625	 0.045216	-12.013321	 5.507678	13.215688	 2.711722
  5	  0	 -2	  0	-0.120861	 0.016392	-14.721792	 1.996680	14.856578	 3.006788
  6	  1	 -1	  0	-0.070974	 0.039749	-8.645205	 4.841765	 9.908697	 2.631065
  7	 -1	 -1	  0	-0.038605	 0.067304	-4.702415	 8.198160	 9.451060	 2.091573
  8	  0	  2	  0	-0.120861	-0.016392	-14.721792	-1.996680	14.856578	-3.006788
  9	  1	  1	  0	-0.038605	-0.067304	-4.702415	-8.198160	 9.451060	-2.091573
 10	 -1	  1	  0	-0.070974	-0.039749	-8.645205	-4.841765	 9.908697	-2.631065
 11	 -2	  0	  0	-0.071777	-0.021494	-8.743016	-2.618073	 9.126589	-2.850643
 12	  2	  0	  0	-0.071777	 0.021494	-8.743016	 2.618073	 9.126589	 2.850643
