 (7.171856233464489472e-02+0.000000000000000000e+00j)  (4.178296655555182454e-02+9.445831550702450674e-02j)  (4.178296655555182454e-02-9.445831550702450674e-02j)  (-5.365182452671245911e-02+1.016974608043334366e-01j)  (-5.365182452671245911e-02-1.016974608043334366e-01j)  (4.134286967366433696e-02-8.285167399899776020e-02j)  (-3.160082168069087982e-02-2.736196902857167268e-03j)  (-6.055027933102779397e-02+5.247694574029830583e-02j)  (4.134286967366433696e-02+8.285167399899776020e-02j)  (-6.055027933102779397e-02-5.247694574029830583e-02j)  (-3.160082168069087982e-02+2.736196902857167268e-03j)  (3.111284357992660787e-02+1.287081101780679082e-01j)  (3.111284357992660787e-02-1.287081101780679082e-01j)
 (1.636832406575247922e-01+0.000000000000000000e+00j)  (8.200934622271068009e-02+3.613751868106346299e-02j)  (8.200934622271068009e-02-3.613751868106346299e-02j)  (4.924838784382697121e-02+7.856075068467049949e-02j)  (4.924838784382697121e-02-7.856075068467049949e-02j)  (8.598955975753942715e-02-7.035606765863131051e-02j)  (4.976384607912381214e-02-7.326615196042929323e-02j)  (4.138332473263037908e-02+1.639176128382376918e-01j)  (8.598955975753942715e-02+7.035606765863131051e-02j)  (4.138332473263037908e-02-1.639176128382376918e-01j)  (4.976384607912381214e-02+7.326615196042929323e-02j)  (-2.814896365512906118e-02-1.014003646801774072e-01j)  (-2.814896365512906118e-02+1.014003646801774072e-01j)
 (1.377993645788166965e-02+0.000000000000000000e+00j)  (9.934841456112455949e-02-2.775138287629312639e-02j)  (9.934841456112455949e-02+2.775138287629312639e-02j)  (-4.196137721297610312e-02+1.225991486126908891e-01j)  (-4.196137721297610312e-02-1.225991486126908891e-01j)  (-4.653474770912486430e-02-1.043360766818279411e-01j)  (-1.381799759797592841e-01-8.151228886525002659e-03j)  (-1.121646836108063094e-02+3.309395514108347258e-02j)  (-4.653474770912486430e-02+1.043360766818279411e-01j)  (-1.121646836108063094e-02-3.309395514108347258e-02j)  (-1.381799759797592841e-01+8.151228886525002659e-03j)  (6.721558355152396080e-03-5.274052800413812914e-03j)  (6.721558355152396080e-03+5.274052800413812914e-03j)
 (4.865361035273112894e-02+0.000000000000000000e+00j)  (-7.068999790277670503e-02+5.322175258608770332e-02j)  (-7.068999790277670503e-02-5.322175258608770332e-02j)  (-1.062027965507008065e-01+1.479969921950198830e-01j)  (-1.062027965507008065e-01-1.479969921950198830e-01j)  (3.340517534533848920e-03+8.098849715871107163e-03j)  (-1.625606127067472095e-02+8.166927310109589611e-02j)  (-1.242607559968673669e-01+5.140931247765948009e-03j)  (3.340517534533848920e-03-8.098849715871107163e-03j)  (-1.242607559968673669e-01-5.140931247765948009e-03j)  (-1.625606127067472095e-02-8.166927310109589611e-02j)  (2.853680462003849519e-02-8.632497162311532357e-02j)  (2.853680462003849519e-02+8.632497162311532357e-02j)
 (-1.586264287860255917e-01+0.000000000000000000e+00j)  (3.264300441106550085e-03+2.860337991647177863e-02j)  (3.264300441106550085e-03-2.860337991647177863e-02j)  (1.305276172198079621e-01+1.774216528183360231e-03j)  (1.305276172198079621e-01-1.774216528183360231e-03j)  (8.196058785911988775e-02-8.460999884592920739e-02j)  (1.624231461054030656e-02-7.432588969095023368e-02j)  (2.486126018880920746e-02-1.170655583025919100e-01j)  (8.196058785911988775e-02+8.460999884592920739e-02j)  (2.486126018880920746e-02+1.170655583025919100e-01j)  (1.624231461054030656e-02+7.432588969095023368e-02j)  (7.380172959087874518e-02+1.352071695288400988e-01j)  (7.380172959087874518e-02-1.352071695288400988e-01j)
 (-1.178952479352686766e-01+0.000000000000000000e+00j)  (-3.828847641735327878e-02+1.455262356788899480e-01j)  (-3.828847641735327878e-02-1.455262356788899480e-01j)  (-4.313936919003426296e-03+8.105081835580840721e-02j)  (-4.313936919003426296e-03-8.105081835580840721e-02j)  (-4.083643178187919276e-02+1.887009749326954214e-02j)  (7.109453880409974391e-02+1.262762306399777545e-01j)  (3.163967658189094367e-02-9.766933784427940524e-02j)  (-4.083643178187919276e-02-1.887009749326954214e-02j)  (3.163967658189094367e-02+9.766933784427940524e-02j)  (7.109453880409974391e-02-1.262762306399777545e-01j)  (-1.106057528216803920e-01-1.750217762095876428e-01j)  (-1.106057528216803920e-01+1.750217762095876428e-01j)
 (7.993377609175339460e-02+0.000000000000000000e+00j)  (6.165766077160606679e-02-1.205278537567593469e-02j)  (6.165766077160606679e-02+1.205278537567593469e-02j)  (-1.027273568352106148e-01+1.054574656023322954e-01j)  (-1.027273568352106148e-01-1.054574656023322954e-01j)  (-6.831143148262402987e-02+5.972795923586322192e-02j)  (6.288280920085942416e-02+2.390974950330235910e-02j)  (9.438699218071298913e-03-5.164083156535050068e-02j)  (-6.831143148262402987e-02-5.972795923586322192e-02j)  (9.438699218071298913e-03+5.164083156535050068e-02j)  (6.288280920085942416e-02-2.390974950330235910e-02j)  (-6.269244879062499387e-02-1.380115289142055078e-02j)  (-6.269244879062499387e-02+1.380115289142055078e-02j)
 (1.668406753646398816e-02+0.000000000000000000e+00j)  (2.015402913927098055e-02-1.223537156925028346e-01j)  (2.015402913927098055e-02+1.223537156925028346e-01j)  (-3.648042964649232667e-02-1.017729630358660264e-02j)  (-3.648042964649232667e-02+1.017729630358660264e-02j)  (-1.066997167048282236e-01+2.467532574512500132e-02j)  (5.246313942888142928e-02-5.616641290893629318e-02j)  (9.961971906378694341e-02-7.867337342610337958e-02j)  (-1.066997167048282236e-01-2.467532574512500132e-02j)  (9.961971906378694341e-02+7.867337342610337958e-02j)  (5.246313942888142928e-02+5.616641290893629318e-02j)  (4.880932481942077544e-02-1.047761183235094290e-02j)  (4.880932481942077544e-02+1.047761183235094290e-02j)
 (7.444065374994682238e-02+0.000000000000000000e+00j)  (-9.150640175447653790e-02-1.309365445329908340e-01j)  (-9.150640175447653790e-02+1.309365445329908340e-01j)  (-1.380664320195141292e-01-2.045535811112703106e-02j)  (-1.380664320195141292e-01+2.045535811112703106e-02j)  (3.065895277225625520e-02+2.641941418106411726e-02j)  (-4.815806775555251523e-02-1.897242575700319039e-02j)  (-4.875315690280987435e-02-5.953215486537981327e-02j)  (3.065895277225625520e-02-2.641941418106411726e-02j)  (-4.875315690280987435e-02+5.953215486537981327e-02j)  (-4.815806775555251523e-02+1.897242575700319039e-02j)  (-4.706535277500715347e-02-1.180788905851958420e-01j)  (-4.706535277500715347e-02+1.180788905851958420e-01j)
 (-9.938896088832477327e-02+0.000000000000000000e+00j)  (1.122841470984613926e-02+2.674846138901575826e-02j)  (1.122841470984613926e-02-2.674846138901575826e-02j)  (-8.089657506051319003e-03-4.162414801622940641e-02j)  (-8.089657506051319003e-03+4.162414801622940641e-02j)  (-5.115482327772396393e-02-4.003972030167307627e-02j)  (-9.697926865532606466e-02-5.488981934804635504e-02j)  (-1.729663480275163145e-01-9.706010674772258540e-02j)  (-5.115482327772396393e-02+4.003972030167307627e-02j)  (-1.729663480275163145e-01+9.706010674772258540e-02j)  (-9.697926865532606466e-02+5.488981934804635504e-02j)  (-1.524773513767951894e-01+1.608088229732528851e-01j)  (-1.524773513767951894e-01-1.608088229732528851e-01j)
