index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.177010	 0.000000	-21.561146	 0.000000	21.561146	 3.141593
  1	  0	  1	  0	 0.077653	-0.005396	 9.458756	-0.657297	 9.481567	-0.069379
  2	  0	 -1	  0	 0.077653	 0.005396	 9.458756	 0.657297	 9.481567	 0.069379
  3	  1	  0	  0	-0.009016	-0.048570	-1.098181	-5.916253	 6.017313	-1.754329
  4	 -1	  0	  0	-0.009016	 0.048570	-1.098181	 5.916253	 6.017313	 1.754329
  5	  0	 -2	  0	 0.005520	-0.014021	 0.672326	-1.707825	 1.835399	-1.195756
  6	  1	 -1	  0	-0.078103	-0.157805	-9.513557	-19.221785	21.447256	-2.030385
  7	 -1	 -1	  0	 0.110255	 0.011831	13.429867	 1.441145	13.506970	 0.106900
  8	  0	  2	  0	 0.005520	 0.014021	 0.672326	 1.707825	 1.835399	 1.195756
  9	  1	  1	  0	 0.110255	-0.011831	13.429867	-1.441145	13.506970	-0.106900
 10	 -1	  1	  0	-0.078103	 0.157805	-9.513557	19.221785	21.447256	 2.030385
 11	 -2	  0	  0	 0.059638	 0.104281	 7.264348	12.702237	14.632757	 1.051299
 12	  2	  0	  0	 0.059638	-0.104281	 7.264348	-12.702237	14.632757	-1.051299
