index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.190909	 0.000000	-23.254165	 0.000000	23.254165	 3.141593
  1	  0	  1	  0	-0.107240	-0.051964	-13.062609	-6.329586	14.515351	-2.690375
  2	  0	 -1	  0	-0.107240	 0.051964	-13.062609	 6.329586	14.515351	 2.690375
  3	  1	  0	  0	-0.126588	 0.026300	-15.419385	 3.203599	15.748666	 2.936743
  4	 -1	  0	  0	-0.126588	-0.026300	-15.419385	-3.203599	15.748666	-2.936743
  5	  0	 -2	  0	-0.060005	-0.054485	-7.309032	-6.636719	 9.872588	-2.404366
  6	  1	 -1	  0	 0.062196	-0.119237	 7.575916	-14.523998	16.381118	-1.090008
  7	 -1	 -1	  0	 0.088887	-0.179032	10.827162	-21.807434	24.347312	-1.109961
  8	  0	  2	  0	-0.060005	 0.054485	-7.309032	 6.636719	 9.872588	 2.404366
  9	  1	  1	  0	 0.088887	 0.179032	10.827162	21.807434	24.347312	 1.109961
 10	 -1	  1	  0	 0.062196	 0.119237	 7.575916	14.523998	16.381118	 1.090008
 11	 -2	  0	  0	-0.116648	 0.121992	-14.208612	14.859541	20.559441	 2.333805
 12	  2	  0	  0	-0.116648	-0.121992	-14.208612	-14.859541	20.559441	-2.333805
