index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.129565	 0.000000	15.781956	 0.000000	15.781956	 0.000000
  1	  0	  1	  0	 0.038877	 0.050705	 4.735467	 6.176197	 7.782677	 0.916675
  2	  0	 -1	  0	 0.038877	-0.050705	 4.735467	-6.176197	 7.782677	-0.916675
  3	  1	  0	  0	 0.030821	-0.071537	 3.754250	-8.713773	 9.488110	-1.163989
  4	 -1	  0	  0	 0.030821	 0.071537	 3.754250	 8.713773	 9.488110	 1.163989
  5	  0	 -2	  0	 0.067215	-0.001491	 8.187300	-0.181597	 8.189314	-0.022177
  6	  1	 -1	  0	-0.043116	-0.036369	-5.251875	-4.430023	 6.870756	-2.440877
  7	 -1	 -1	  0	 0.069930	-0.027807	 8.518052	-3.387163	 9.166792	-0.378475
  8	  0	  2	  0	 0.067215	 0.001491	 8.187300	 0.181597	 8.189314	 0.022177
  9	  1	  1	  0	 0.069930	 0.027807	 8.518052	 3.387163	 9.166792	 0.378475
 10	 -1	  1	  0	-0.043116	 0.036369	-5.251875	 4.430023	 6.870756	 2.440877
 11	 -2	  0	  0	 0.054979	 0.108506	 6.696811	13.216863	14.816637	 1.101814
 12	  2	  0	  0	 0.054979	-0.108506	 6.696811	-13.216863	14.816637	-1.101814
