index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.071476	 0.000000	 8.706299	 0.000000	 8.706299	 0.000000
  1	  0	  1	  0	 0.065427	 0.034398	 7.969479	 4.189997	 9.003814	 0.484039
  2	  0	 -1	  0	 0.065427	-0.034398	 7.969479	-4.189997	 9.003814	-0.484039
  3	  1	  0	  0	-0.117603	-0.033303	-14.324956	-4.056575	14.888255	-2.865635
  4	 -1	  0	  0	-0.117603	 0.033303	-14.324956	 4.056575	14.888255	 2.865635
  5	  0	 -2	  0	-0.072941	-0.045897	-8.884805	-5.590608	10.497365	-2.579956
  6	  1	 -1	  0	 0.045420	 0.003108	 5.532520	 0.378625	 5.545461	 0.068330
  7	 -1	 -1	  0	 0.048823	-0.122523	 5.946958	-14.924185	16.065416	-1.191603
  8	  0	  2	  0	-0.072941	 0.045897	-8.884805	 5.590608	10.497365	 2.579956
  9	  1	  1	  0	 0.048823	 0.122523	 5.946958	14.924185	16.065416	 1.191603
 10	 -1	  1	  0	 0.045420	-0.003108	 5.532520	-0.378625	 5.545461	-0.068330
 11	 -2	  0	  0	-0.026108	-0.121292	-3.180190	-14.774298	15.112693	-1.782813
 12	  2	  0	  0	-0.026108	 0.121292	-3.180190	14.774298	15.112693	 1.782813
