index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.171879	 0.000000	20.936177	 0.000000	20.936177	 0.000000
  1	  0	  1	  0	 0.082839	 0.044735	10.090469	 5.449025	11.467757	 0.495146
  2	  0	 -1	  0	 0.082839	-0.044735	10.090469	-5.449025	11.467757	-0.495146
  3	  1	  0	  0	 0.041819	 0.069730	 5.093897	 8.493659	 9.904041	 1.030576
  4	 -1	  0	  0	 0.041819	-0.069730	 5.093897	-8.493659	 9.904041	-1.030576
  5	  0	 -2	  0	 0.013244	 0.004614	 1.613272	 0.562060	 1.708379	 0.335247
  6	  1	 -1	  0	-0.043957	-0.007621	-5.354302	-0.928246	 5.434169	-2.969934
  7	 -1	 -1	  0	 0.058698	-0.000174	 7.149806	-0.021178	 7.149837	-0.002962
  8	  0	  2	  0	 0.013244	-0.004614	 1.613272	-0.562060	 1.708379	-0.335247
  9	  1	  1	  0	 0.058698	 0.000174	 7.149806	 0.021178	 7.149837	 0.002962
 10	 -1	  1	  0	-0.043957	 0.007621	-5.354302	 0.928246	 5.434169	 2.969934
 11	 -2	  0	  0	-0.046802	-0.010978	-5.700778	-1.337186	 5.855504	-2.911196
 12	  2	  0	  0	-0.046802	 0.010978	-5.700778	 1.337186	 5.855504	 2.911196
