0	2	1	6	8	7	3	5	4	15	24	17	25	9	11	10	12	14	13	
1	0	26	7	6	28	4	3	27	16	15	18	17	10	9	29	13	12	30	
2	19	0	8	21	6	5	20	3	24	65	25	66	11	22	9	14	23	12	
3	5	4	0	2	1	47	49	48	17	25	53	57	50	52	51	9	11	10	
4	3	27	1	0	26	48	47	58	18	17	54	53	51	50	59	10	9	29	
5	20	3	2	19	0	49	55	47	25	66	57	74	52	56	50	11	22	9	
6	8	7	33	35	34	0	2	1	39	43	15	24	12	14	13	36	38	37	
7	6	28	34	33	44	1	0	26	40	39	16	15	13	12	30	37	36	45	
8	21	6	35	41	33	2	19	0	43	67	24	65	14	23	12	38	42	36	
9	11	10	12	14	13	50	52	51	0	2	3	5	77	79	78	80	82	81	
10	9	29	13	12	30	51	50	59	1	0	4	3	78	77	94	81	80	91	
12	14	13	36	38	37	9	11	10	6	8	0	2	80	82	81	85	87	86	
13	12	30	37	36	45	10	9	29	7	6	1	0	81	80	91	86	85	92	
15	24	16	39	43	40	17	25	18	61	68	63	69	0	2	1	6	8	7	
16	15	31	40	39	46	18	17	32	62	61	64	63	1	0	26	7	6	28	
24	65	15	43	67	39	25	66	17	68	93	69	89	2	19	0	8	21	6	
17	25	18	15	24	16	53	57	54	63	69	72	75	3	5	4	0	2	1	
18	17	32	16	15	31	54	53	60	64	63	73	72	4	3	27	1	0	26	
25	66	17	24	65	15	57	74	53	69	89	75	90	5	20	3	2	19	0	
