index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
 55	  0	  2	 -2	 0.008463	 0.013438	 1.064623	 1.690464	 1.997772	 1.008766
 56	  1	  1	 -2	-0.010910	 0.014872	-1.372379	 1.870808	 2.320204	 2.203703
 57	 -1	  2	 -1	-0.023194	-0.012428	-2.917681	-1.563330	 3.310115	-2.649707
 58	  0	  2	  2	-0.027403	-0.007848	-3.447208	-0.987268	 3.585798	-2.862662
 59	  1	  1	  2	 0.008594	-0.026714	 1.081030	-3.360535	 3.530131	-1.259567
 60	 -1	  2	  2	-0.013023	-0.028524	-1.638191	-3.588131	 3.944408	-1.999091
 61	 -2	  0	  0	 0.010822	 0.020620	 1.361366	 2.593942	 2.929480	 1.087486
 62	 -2	  0	  1	-0.033054	 0.001031	-4.158073	 0.129730	 4.160097	 3.110403
 63	 -2	  1	  0	-0.027346	 0.048635	-3.439955	 6.118044	 7.018814	 2.083006
 64	 -2	  1	  1	 0.033369	-0.023613	 4.197586	-2.970354	 5.142249	-0.615831
 65	 -1	  0	 -2	-0.021782	 0.000819	-2.740031	 0.103030	 2.741968	 3.104009
 66	 -1	  1	 -2	 0.018318	 0.005080	 2.304310	 0.639021	 2.391274	 0.270518
 67	 -1	 -1	 -2	 0.008594	 0.026714	 1.081030	 3.360535	 3.530131	 1.259567
 68	 -2	  0	 -1	 0.031392	 0.014405	 3.948959	 1.812014	 4.344845	 0.430196
 69	 -2	  1	 -1	 0.003453	 0.051002	 0.434387	 6.415745	 6.430434	 1.503193
 70	 -2	  0	  2	 0.023069	 0.009338	 2.901897	 1.174700	 3.130643	 0.384641
 71	 -2	  1	  2	-0.009816	 0.059178	-1.234861	 7.444254	 7.545979	 1.735181
 72	 -2	  2	  0	-0.007770	 0.022761	-0.977458	 2.863257	 3.025503	 1.899771
 73	 -2	  2	  1	-0.015925	-0.017991	-2.003258	-2.263198	 3.022434	-2.295343
 74	 -1	  2	 -2	 0.030618	 0.000672	 3.851589	 0.084573	 3.852517	 0.021954
 75	 -2	  2	 -1	-0.006006	 0.001709	-0.755497	 0.214927	 0.785474	 2.864431
