index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.081253	 0.000000	 9.897245	 0.000000	 9.897245	 0.000000
  1	  0	  1	  0	-0.022891	-0.093833	-2.788323	-11.429601	11.764800	-1.810079
  2	  0	 -1	  0	-0.022891	 0.093833	-2.788323	11.429601	11.764800	 1.810079
  3	  1	  0	  0	-0.028709	 0.054090	-3.497034	 6.588611	 7.459158	 2.058755
  4	 -1	  0	  0	-0.028709	-0.054090	-3.497034	-6.588611	 7.459158	-2.058755
  5	  0	 -2	  0	-0.084464	 0.056189	-10.288297	 6.844200	12.356866	 2.554578
  6	  1	 -1	  0	 0.000350	 0.101972	 0.042581	12.420972	12.421045	 1.567368
  7	 -1	 -1	  0	-0.018583	-0.011100	-2.263568	-1.352094	 2.636645	-2.603140
  8	  0	  2	  0	-0.084464	-0.056189	-10.288297	-6.844200	12.356866	-2.554578
  9	  1	  1	  0	-0.018583	 0.011100	-2.263568	 1.352094	 2.636645	 2.603140
 10	 -1	  1	  0	 0.000350	-0.101972	 0.042581	-12.420972	12.421045	-1.567368
 11	 -2	  0	  0	 0.008472	-0.032287	 1.031994	-3.932802	 4.065949	-1.314175
 12	  2	  0	  0	 0.008472	 0.032287	 1.031994	 3.932802	 4.065949	 1.314175
