index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.037180	 0.000000	-4.528843	 0.000000	 4.528843	 3.141593
  1	  0	  1	  0	 0.006147	-0.127185	 0.748699	-15.492139	15.510220	-1.522506
  2	  0	 -1	  0	 0.006147	 0.127185	 0.748699	15.492139	15.510220	 1.522506
  3	  1	  0	  0	-0.038996	-0.014015	-4.750004	-1.707104	 5.047449	-2.796577
  4	 -1	  0	  0	-0.038996	 0.014015	-4.750004	 1.707104	 5.047449	 2.796577
  5	  0	 -2	  0	-0.004462	 0.054029	-0.543551	 6.581153	 6.603561	 1.653201
  6	  1	 -1	  0	-0.053125	 0.078313	-6.471024	 9.539149	11.526904	 2.166854
  7	 -1	 -1	  0	-0.084149	 0.100386	-10.249950	12.227835	15.955608	 2.268428
  8	  0	  2	  0	-0.004462	-0.054029	-0.543551	-6.581153	 6.603561	-1.653201
  9	  1	  1	  0	-0.084149	-0.100386	-10.249950	-12.227835	15.955608	-2.268428
 10	 -1	  1	  0	-0.053125	-0.078313	-6.471024	-9.539149	11.526904	-2.166854
 11	 -2	  0	  0	-0.019790	-0.030285	-2.410596	-3.688925	 4.406716	-2.149606
 12	  2	  0	  0	-0.019790	 0.030285	-2.410596	 3.688925	 4.406716	 2.149606
