index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	5	20.8845	-12	0	-70.00000	 0.00000
1	5	20.882	-11	-4	-64.16667	-23.33333
2	5	20.8795	-11	-3	-64.16667	-17.50000
3	5	20.8777	-11	-2	-64.16667	-11.66667
4	5	20.8766	-11	-1	-64.16667	-5.83333
5	5	20.8763	-11	0	-64.16667	 0.00000
6	5	20.8766	-11	1	-64.16667	 5.83333
7	5	20.8777	-11	2	-64.16667	11.66667
8	5	20.8795	-11	3	-64.16667	17.50000
9	5	20.882	-11	4	-64.16667	23.33333
10	5	20.8816	-10	-6	-58.33333	-35.00000
11	5	20.8777	-10	-5	-58.33333	-29.16667
12	5	20.8745	-10	-4	-58.33333	-23.33333
13	5	20.872	-10	-3	-58.33333	-17.50000
14	5	20.8702	-10	-2	-58.33333	-11.66667
15	5	20.8692	-10	-1	-58.33333	-5.83333
16	5	20.8688	-10	0	-58.33333	 0.00000
17	5	20.8692	-10	1	-58.33333	 5.83333
18	5	20.8702	-10	2	-58.33333	11.66667
19	5	20.872	-10	3	-58.33333	17.50000
20	5	20.8745	-10	4	-58.33333	23.33333
21	5	20.8777	-10	5	-58.33333	29.16667
22	5	20.8816	-10	6	-58.33333	35.00000
23	5	20.8795	-9	-7	-52.50000	-40.83333
24	5	20.8749	-9	-6	-52.50000	-35.00000
25	5	20.871	-9	-5	-52.50000	-29.16667
26	5	20.8677	-9	-4	-52.50000	-23.33333
27	5	20.8653	-9	-3	-52.50000	-17.50000
28	5	20.8635	-9	-2	-52.50000	-11.66667
29	5	20.8624	-9	-1	-52.50000	-5.83333
30	5	20.8621	-9	0	-52.50000	 0.00000
31	5	20.8624	-9	1	-52.50000	 5.83333
32	5	20.8635	-9	2	-52.50000	11.66667
33	5	20.8653	-9	3	-52.50000	17.50000
34	5	20.8677	-9	4	-52.50000	23.33333
35	5	20.871	-9	5	-52.50000	29.16667
36	5	20.8749	-9	6	-52.50000	35.00000
37	5	20.8795	-9	7	-52.50000	40.83333
38	5	20.8788	-8	-8	-46.66667	-46.66667
39	5	20.8735	-8	-7	-46.66667	-40.83333
40	5	20.8688	-8	-6	-46.66667	-35.00000
41	5	20.8649	-8	-5	-46.66667	-29.16667
42	5	20.8617	-8	-4	-46.66667	-23.33333
43	5	20.8592	-8	-3	-46.66667	-17.50000
