index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.098124	 0.000000	-11.952229	 0.000000	11.952229	 3.141593
  1	  0	  1	  0	 0.000178	-0.071698	 0.021704	-8.733400	 8.733427	-1.568311
  2	  0	 -1	  0	 0.000178	 0.071698	 0.021704	 8.733400	 8.733427	 1.568311
  3	  1	  0	  0	-0.037638	-0.000198	-4.584538	-0.024146	 4.584601	-3.136326
  4	 -1	  0	  0	-0.037638	 0.000198	-4.584538	 0.024146	 4.584601	 3.136326
  5	  0	 -2	  0	 0.007687	-0.002942	 0.936313	-0.358302	 1.002528	-0.365481
  6	  1	 -1	  0	 0.104673	-0.186642	12.749987	-22.734391	26.065585	-1.059681
  7	 -1	 -1	  0	-0.002599	 0.091834	-0.316583	11.186047	11.190526	 1.599090
  8	  0	  2	  0	 0.007687	 0.002942	 0.936313	 0.358302	 1.002528	 0.365481
  9	  1	  1	  0	-0.002599	-0.091834	-0.316583	-11.186047	11.190526	-1.599090
 10	 -1	  1	  0	 0.104673	 0.186642	12.749987	22.734391	26.065585	 1.059681
 11	 -2	  0	  0	-0.053119	 0.085313	-6.470237	10.391717	12.241395	 2.127692
 12	  2	  0	  0	-0.053119	-0.085313	-6.470237	-10.391717	12.241395	-2.127692
