index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.128120	 0.000000	-15.606037	 0.000000	15.606037	 3.141593
  1	  0	  1	  0	 0.135576	-0.009343	16.514145	-1.138038	16.553311	-0.068804
  2	  0	 -1	  0	 0.135576	 0.009343	16.514145	 1.138038	16.553311	 0.068804
  3	  1	  0	  0	 0.047608	-0.013540	 5.798965	-1.649215	 6.028922	-0.277083
  4	 -1	  0	  0	 0.047608	 0.013540	 5.798965	 1.649215	 6.028922	 0.277083
  5	  0	 -2	  0	 0.071001	-0.060779	 8.648476	-7.403322	11.384433	-0.707982
  6	  1	 -1	  0	-0.107068	-0.119811	-13.041663	-14.593867	19.572070	-2.300086
  7	 -1	 -1	  0	-0.048052	 0.067337	-5.853157	 8.202183	10.076470	 2.190598
  8	  0	  2	  0	 0.071001	 0.060779	 8.648476	 7.403322	11.384433	 0.707982
  9	  1	  1	  0	-0.048052	-0.067337	-5.853157	-8.202183	10.076470	-2.190598
 10	 -1	  1	  0	-0.107068	 0.119811	-13.041663	14.593867	19.572070	 2.300086
 11	 -2	  0	  0	 0.088109	-0.020058	10.732288	-2.443238	11.006881	-0.223838
 12	  2	  0	  0	 0.088109	 0.020058	10.732288	 2.443238	11.006881	 0.223838
