index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.180733	 0.000000	22.014639	 0.000000	22.014639	 0.000000
  1	  0	  1	  0	-0.011490	 0.004545	-1.399616	 0.553637	 1.505138	 2.764917
  2	  0	 -1	  0	-0.011490	-0.004545	-1.399616	-0.553637	 1.505138	-2.764917
  3	  1	  0	  0	 0.142682	 0.050282	17.379773	 6.124777	18.427409	 0.338819
  4	 -1	  0	  0	 0.142682	-0.050282	17.379773	-6.124777	18.427409	-0.338819
  5	  0	 -2	  0	 0.016924	-0.079287	 2.061419	-9.657777	 9.875328	-1.360505
  6	  1	 -1	  0	 0.047680	-0.038320	 5.807830	-4.667614	 7.451007	-0.676978
  7	 -1	 -1	  0	 0.020470	-0.014213	 2.493383	-1.731225	 3.035473	-0.606909
  8	  0	  2	  0	 0.016924	 0.079287	 2.061419	 9.657777	 9.875328	 1.360505
  9	  1	  1	  0	 0.020470	 0.014213	 2.493383	 1.731225	 3.035473	 0.606909
 10	 -1	  1	  0	 0.047680	 0.038320	 5.807830	 4.667614	 7.451007	 0.676978
 11	 -2	  0	  0	-0.061876	 0.048957	-7.536913	 5.963330	 9.610742	 2.472231
 12	  2	  0	  0	-0.061876	-0.048957	-7.536913	-5.963330	 9.610742	-2.472231
