index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.004313	 0.000000	 0.525314	 0.000000	 0.525314	 0.000000
  1	  0	  1	  0	 0.095022	 0.003049	11.574428	 0.371386	11.580385	 0.032076
  2	  0	 -1	  0	 0.095022	-0.003049	11.574428	-0.371386	11.580385	-0.032076
  3	  1	  0	  0	 0.112342	 0.038544	13.684093	 4.694963	14.467103	 0.330511
  4	 -1	  0	  0	 0.112342	-0.038544	13.684093	-4.694963	14.467103	-0.330511
  5	  0	 -2	  0	 0.052088	 0.022492	 6.344752	 2.739727	 6.911005	 0.407625
  6	  1	 -1	  0	-0.054976	 0.032745	-6.696524	 3.988638	 7.794400	 2.604394
  7	 -1	 -1	  0	 0.056794	 0.048630	 6.917898	 5.923554	 9.107459	 0.708120
  8	  0	  2	  0	 0.052088	-0.022492	 6.344752	-2.739727	 6.911005	-0.407625
  9	  1	  1	  0	 0.056794	-0.048630	 6.917898	-5.923554	 9.107459	-0.708120
 10	 -1	  1	  0	-0.054976	-0.032745	-6.696524	-3.988638	 7.794400	-2.604394
 11	 -2	  0	  0	 0.059519	-0.060448	 7.249883	-7.363055	10.333218	-0.793143
 12	  2	  0	  0	 0.059519	 0.060448	 7.249883	 7.363055	10.333218	 0.793143
