index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.163139	 0.000000	19.871580	 0.000000	19.871580	 0.000000
  1	  0	  1	  0	-0.036574	 0.150576	-4.454999	18.341275	18.874570	 1.809077
  2	  0	 -1	  0	-0.036574	-0.150576	-4.454999	-18.341275	18.874570	-1.809077
  3	  1	  0	  0	 0.125257	-0.105223	15.257301	-12.816987	19.926374	-0.698693
  4	 -1	  0	  0	 0.125257	 0.105223	15.257301	12.816987	19.926374	 0.698693
  5	  0	 -2	  0	 0.023655	-0.001988	 2.881382	-0.242117	 2.891536	-0.083831
  6	  1	 -1	  0	 0.017620	 0.038275	 2.146263	 4.662168	 5.132471	 1.139363
  7	 -1	 -1	  0	-0.047868	 0.015717	-5.830683	 1.914434	 6.136931	 2.824345
  8	  0	  2	  0	 0.023655	 0.001988	 2.881382	 0.242117	 2.891536	 0.083831
  9	  1	  1	  0	-0.047868	-0.015717	-5.830683	-1.914434	 6.136931	-2.824345
 10	 -1	  1	  0	 0.017620	-0.038275	 2.146263	-4.662168	 5.132471	-1.139363
 11	 -2	  0	  0	-0.053012	 0.106248	-6.457282	12.941801	14.463288	 2.033602
 12	  2	  0	  0	-0.053012	-0.106248	-6.457282	-12.941801	14.463288	-2.033602
