index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.020368	 0.000000	 2.480926	 0.000000	 2.480926	 0.000000
  1	  0	  1	  0	 0.094610	 0.008782	11.524272	 1.069755	11.573816	 0.092561
  2	  0	 -1	  0	 0.094610	-0.008782	11.524272	-1.069755	11.573816	-0.092561
  3	  1	  0	  0	-0.144176	-0.037802	-17.561772	-4.604527	18.155371	-2.885174
  4	 -1	  0	  0	-0.144176	 0.037802	-17.561772	 4.604527	18.155371	 2.885174
  5	  0	 -2	  0	 0.013295	 0.050893	 1.619431	 6.199119	 6.407155	 1.315271
  6	  1	 -1	  0	-0.044436	 0.115466	-5.412587	14.064622	15.070159	 1.938163
  7	 -1	 -1	  0	 0.100209	 0.122840	12.206231	14.962865	19.310086	 0.886514
  8	  0	  2	  0	 0.013295	-0.050893	 1.619431	-6.199119	 6.407155	-1.315271
  9	  1	  1	  0	 0.100209	-0.122840	12.206231	-14.962865	19.310086	-0.886514
 10	 -1	  1	  0	-0.044436	-0.115466	-5.412587	-14.064622	15.070159	-1.938163
 11	 -2	  0	  0	 0.127518	-0.007023	15.532680	-0.855504	15.556222	-0.055022
 12	  2	  0	  0	 0.127518	 0.007023	15.532680	 0.855504	15.556222	 0.055022
