index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.065659	 0.000000	 7.997753	 0.000000	 7.997753	 0.000000
  1	  0	  1	  0	 0.153355	 0.032283	18.679819	 3.932258	19.089219	 0.207479
  2	  0	 -1	  0	 0.153355	-0.032283	18.679819	-3.932258	19.089219	-0.207479
  3	  1	  0	  0	 0.071648	-0.140104	 8.727252	-17.065706	19.167766	-1.098077
  4	 -1	  0	  0	 0.071648	 0.140104	 8.727252	17.065706	19.167766	 1.098077
  5	  0	 -2	  0	 0.112626	 0.016153	13.718723	 1.967558	13.859100	 0.142450
  6	  1	 -1	  0	-0.066002	 0.054843	-8.039529	 6.680238	10.452732	 2.448278
  7	 -1	 -1	  0	 0.144143	 0.063228	17.557744	 7.701620	19.172619	 0.413371
  8	  0	  2	  0	 0.112626	-0.016153	13.718723	-1.967558	13.859100	-0.142450
  9	  1	  1	  0	 0.144143	-0.063228	17.557744	-7.701620	19.172619	-0.413371
 10	 -1	  1	  0	-0.066002	-0.054843	-8.039529	-6.680238	10.452732	-2.448278
 11	 -2	  0	  0	 0.008947	-0.115218	 1.089806	-14.034381	14.076630	-1.493299
 12	  2	  0	  0	 0.008947	 0.115218	 1.089806	14.034381	14.076630	 1.493299
