index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	5	73.5175	-12	0	-70.00000	 0.00000
1	5	73.5088	-11	-4	-64.16667	-23.33333
2	5	73.5	-11	-3	-64.16667	-17.50000
3	5	73.4937	-11	-2	-64.16667	-11.66667
4	5	73.4899	-11	-1	-64.16667	-5.83333
5	5	73.4887	-11	0	-64.16667	 0.00000
6	5	73.4899	-11	1	-64.16667	 5.83333
7	5	73.4937	-11	2	-64.16667	11.66667
8	5	73.5	-11	3	-64.16667	17.50000
9	5	73.5088	-11	4	-64.16667	23.33333
10	5	73.5076	-10	-6	-58.33333	-35.00000
11	5	73.4938	-10	-5	-58.33333	-29.16667
12	5	73.4825	-10	-4	-58.33333	-23.33333
13	5	73.4737	-10	-3	-58.33333	-17.50000
14	5	73.4674	-10	-2	-58.33333	-11.66667
15	5	73.4637	-10	-1	-58.33333	-5.83333
16	5	73.4624	-10	0	-58.33333	 0.00000
17	5	73.4637	-10	1	-58.33333	 5.83333
18	5	73.4674	-10	2	-58.33333	11.66667
19	5	73.4737	-10	3	-58.33333	17.50000
20	5	73.4825	-10	4	-58.33333	23.33333
21	5	73.4938	-10	5	-58.33333	29.16667
22	5	73.5076	-10	6	-58.33333	35.00000
23	5	73.5001	-9	-7	-52.50000	-40.83333
24	5	73.4838	-9	-6	-52.50000	-35.00000
25	5	73.47	-9	-5	-52.50000	-29.16667
26	5	73.4587	-9	-4	-52.50000	-23.33333
27	5	73.4499	-9	-3	-52.50000	-17.50000
28	5	73.4436	-9	-2	-52.50000	-11.66667
29	5	73.4399	-9	-1	-52.50000	-5.83333
30	5	73.4386	-9	0	-52.50000	 0.00000
31	5	73.4399	-9	1	-52.50000	 5.83333
32	5	73.4436	-9	2	-52.50000	11.66667
33	5	73.4499	-9	3	-52.50000	17.50000
34	5	73.4587	-9	4	-52.50000	23.33333
35	5	73.47	-9	5	-52.50000	29.16667
36	5	73.4838	-9	6	-52.50000	35.00000
37	5	73.5001	-9	7	-52.50000	40.83333
38	5	73.4976	-8	-8	-46.66667	-46.66667
39	5	73.4788	-8	-7	-46.66667	-40.83333
40	5	73.4625	-8	-6	-46.66667	-35.00000
41	5	73.4487	-8	-5	-46.66667	-29.16667
42	5	73.4374	-8	-4	-46.66667	-23.33333
43	5	73.4287	-8	-3	-46.66667	-17.50000
44	5	73.4224	-8	-2	-46.66667	-11.66667
45	5	73.4186	-8	-1	-46.66667	-5.83333
46	5	73.4174	-8	0	-46.66667	 0.00000
47	5	73.4186	-8	1	-46.66667	 5.83333
48	5	73.4224	-8	2	-46.66667	11.66667
49	5	73.4287	-8	3	-46.66667	17.50000
50	5	73.4374	-8	4	-46.66667	23.33333
51	5	73.4487	-8	5	-46.66667	29.16667
52	5	73.4625	-8	6	-46.66667	35.00000
53	5	73.4788	-8	7	-46.66667	40.83333
54	5	73.4976	-8	8	-46.66667	46.66667
55	5	73.5001	-7	-9	-40.83333	-52.50000
56	5	73.4788	-7	-8	-40.83333	-46.66667
