index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.099178	 0.000000	12.080582	 0.000000	12.080582	 0.000000
  1	  0	  1	  0	 0.102793	-0.107327	12.521012	-13.073279	18.102109	-0.806973
  2	  0	 -1	  0	 0.102793	 0.107327	12.521012	13.073279	18.102109	 0.806973
  3	  1	  0	  0	-0.059292	-0.165365	-7.222218	-20.142715	21.398351	-1.915070
  4	 -1	  0	  0	-0.059292	 0.165365	-7.222218	20.142715	21.398351	 1.915070
  5	  0	 -2	  0	 0.034017	 0.133782	 4.143584	16.295693	16.814247	 1.321798
  6	  1	 -1	  0	-0.012824	 0.037389	-1.562113	 4.554275	 4.814729	 1.901221
  7	 -1	 -1	  0	 0.027077	 0.022806	 3.298158	 2.777892	 4.312137	 0.699981
  8	  0	  2	  0	 0.034017	-0.133782	 4.143584	-16.295693	16.814247	-1.321798
  9	  1	  1	  0	 0.027077	-0.022806	 3.298158	-2.777892	 4.312137	-0.699981
 10	 -1	  1	  0	-0.012824	-0.037389	-1.562113	-4.554275	 4.814729	-1.901221
 11	 -2	  0	  0	-0.058478	 0.015127	-7.123054	 1.842597	 7.357518	 2.888461
 12	  2	  0	  0	-0.058478	-0.015127	-7.123054	-1.842597	 7.357518	-2.888461
