index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.139346	 0.000000	-16.973441	 0.000000	16.973441	 3.141593
  1	  0	  1	  0	 0.082213	 0.107793	10.014183	13.130051	16.513089	 0.919222
  2	  0	 -1	  0	 0.082213	-0.107793	10.014183	-13.130051	16.513089	-0.919222
  3	  1	  0	  0	 0.068691	 0.092122	 8.367080	11.221165	13.997234	 0.930084
  4	 -1	  0	  0	 0.068691	-0.092122	 8.367080	-11.221165	13.997234	-0.930084
  5	  0	 -2	  0	-0.071021	 0.009253	-8.650879	 1.127097	 8.723993	 3.012035
  6	  1	 -1	  0	 0.175832	-0.108178	21.417720	-13.176931	25.146575	-0.551546
  7	 -1	 -1	  0	-0.120881	-0.064980	-14.724194	-7.915013	16.716737	-2.648357
  8	  0	  2	  0	-0.071021	-0.009253	-8.650879	-1.127097	 8.723993	-3.012035
  9	  1	  1	  0	-0.120881	 0.064980	-14.724194	 7.915013	16.716737	 2.648357
 10	 -1	  1	  0	 0.175832	 0.108178	21.417720	13.176931	25.146575	 0.551546
 11	 -2	  0	  0	 0.018811	-0.113225	 2.291355	-13.791720	13.980767	-1.406160
 12	  2	  0	  0	 0.018811	 0.113225	 2.291355	13.791720	13.980767	 1.406160
