index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.021786	 0.000000	 2.653679	 0.000000	 2.653679	 0.000000
  1	  0	  1	  0	 0.038565	 0.105142	 4.697561	12.807047	13.641390	 1.219238
  2	  0	 -1	  0	 0.038565	-0.105142	 4.697561	-12.807047	13.641390	-1.219238
  3	  1	  0	  0	-0.053814	 0.060981	-6.554990	 7.427970	 9.906696	 2.293844
  4	 -1	  0	  0	-0.053814	-0.060981	-6.554990	-7.427970	 9.906696	-2.293844
  5	  0	 -2	  0	 0.103025	 0.070694	12.549231	 8.611049	15.219506	 0.601391
  6	  1	 -1	  0	 0.019561	 0.041756	 2.382670	 5.086237	 5.616664	 1.132702
  7	 -1	 -1	  0	 0.014618	-0.007829	 1.780584	-0.953634	 2.019876	-0.491700
  8	  0	  2	  0	 0.103025	-0.070694	12.549231	-8.611049	15.219506	-0.601391
  9	  1	  1	  0	 0.014618	 0.007829	 1.780584	 0.953634	 2.019876	 0.491700
 10	 -1	  1	  0	 0.019561	-0.041756	 2.382670	-5.086237	 5.616664	-1.132702
 11	 -2	  0	  0	-0.061026	-0.034561	-7.433437	-4.209759	 8.542719	-2.626300
 12	  2	  0	  0	-0.061026	 0.034561	-7.433437	 4.209759	 8.542719	 2.626300
