index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.017579	 0.000000	 2.141295	 0.000000	 2.141295	 0.000000
  1	  0	  1	  0	-0.065094	 0.105854	-7.928946	12.893867	15.136710	 2.122128
  2	  0	 -1	  0	-0.065094	-0.105854	-7.928946	-12.893867	15.136710	-2.122128
  3	  1	  0	  0	 0.038426	 0.014599	 4.680579	 1.778241	 5.006991	 0.363076
  4	 -1	  0	  0	 0.038426	-0.014599	 4.680579	-1.778241	 5.006991	-0.363076
  5	  0	 -2	  0	 0.017651	 0.034269	 2.150062	 4.174205	 4.695398	 1.095155
  6	  1	 -1	  0	 0.026286	-0.097891	 3.201854	-11.923809	12.346218	-1.308459
  7	 -1	 -1	  0	-0.000055	 0.028984	-0.006665	 3.530463	 3.530469	 1.572684
  8	  0	  2	  0	 0.017651	-0.034269	 2.150062	-4.174205	 4.695398	-1.095155
  9	  1	  1	  0	-0.000055	-0.028984	-0.006665	-3.530463	 3.530469	-1.572684
 10	 -1	  1	  0	 0.026286	 0.097891	 3.201854	11.923809	12.346218	 1.308459
 11	 -2	  0	  0	 0.000301	-0.047332	 0.036671	-5.765336	 5.765453	-1.564436
 12	  2	  0	  0	 0.000301	 0.047332	 0.036671	 5.765336	 5.765453	 1.564436
