index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.042215	 0.000000	 5.142140	 0.000000	 5.142140	 0.000000
  1	  0	  1	  0	 0.125002	 0.057489	15.226234	 7.002645	16.759332	 0.431062
  2	  0	 -1	  0	 0.125002	-0.057489	15.226234	-7.002645	16.759332	-0.431062
  3	  1	  0	  0	 0.038282	-0.062884	 4.663019	-7.659733	 8.967456	-1.023953
  4	 -1	  0	  0	 0.038282	 0.062884	 4.663019	 7.659733	 8.967456	 1.023953
  5	  0	 -2	  0	-0.012081	 0.030553	-1.471543	 3.721540	 4.001912	 1.947342
  6	  1	 -1	  0	-0.037431	-0.119275	-4.559339	-14.528568	15.227175	-1.874882
  7	 -1	 -1	  0	-0.161596	-0.006911	-19.683619	-0.841780	19.701610	-3.098853
  8	  0	  2	  0	-0.012081	-0.030553	-1.471543	-3.721540	 4.001912	-1.947342
  9	  1	  1	  0	-0.161596	 0.006911	-19.683619	 0.841780	19.701610	 3.098853
 10	 -1	  1	  0	-0.037431	 0.119275	-4.559339	14.528568	15.227175	 1.874882
 11	 -2	  0	  0	-0.038582	 0.149372	-4.699589	18.194604	18.791747	 1.823567
 12	  2	  0	  0	-0.038582	-0.149372	-4.699589	-18.194604	18.791747	-1.823567
