index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.088195	 0.000000	-10.742856	 0.000000	10.742856	 3.141593
  1	  0	  1	  0	-0.064901	-0.014741	-7.905439	-1.795542	 8.106783	-2.918254
  2	  0	 -1	  0	-0.064901	 0.014741	-7.905439	 1.795542	 8.106783	 2.918254
  3	  1	  0	  0	-0.010506	 0.030513	-1.279729	 3.716765	 3.930909	 1.902395
  4	 -1	  0	  0	-0.010506	-0.030513	-1.279729	-3.716765	 3.930909	-1.902395
  5	  0	 -2	  0	-0.031305	-0.037724	-3.813230	-4.595019	 5.971175	-2.263482
  6	  1	 -1	  0	 0.046276	-0.036218	 5.636715	-4.411566	 7.157826	-0.664071
  7	 -1	 -1	  0	-0.103881	-0.015721	-12.653473	-1.914931	12.797552	-2.991396
  8	  0	  2	  0	-0.031305	 0.037724	-3.813230	 4.595019	 5.971175	 2.263482
  9	  1	  1	  0	-0.103881	 0.015721	-12.653473	 1.914931	12.797552	 2.991396
 10	 -1	  1	  0	 0.046276	 0.036218	 5.636715	 4.411566	 7.157826	 0.664071
 11	 -2	  0	  0	 0.063855	-0.016499	 7.777979	-2.009694	 8.033420	-0.252852
 12	  2	  0	  0	 0.063855	 0.016499	 7.777979	 2.009694	 8.033420	 0.252852
