index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.022206	 0.000000	-2.704814	 0.000000	 2.704814	 3.141593
  1	  0	  1	  0	-0.059717	-0.027361	-7.273973	-3.332755	 8.001121	-2.711961
  2	  0	 -1	  0	-0.059717	 0.027361	-7.273973	 3.332755	 8.001121	 2.711961
  3	  1	  0	  0	 0.022063	 0.060830	 2.687492	 7.409507	 7.881840	 1.222845
  4	 -1	  0	  0	 0.022063	-0.060830	 2.687492	-7.409507	 7.881840	-1.222845
  5	  0	 -2	  0	 0.108450	 0.130179	13.210014	15.856799	20.638376	 0.876206
  6	  1	 -1	  0	-0.045795	-0.102079	-5.578145	-12.434029	13.627941	-1.992501
  7	 -1	 -1	  0	 0.029599	-0.001745	 3.605391	-0.212579	 3.611653	-0.058893
  8	  0	  2	  0	 0.108450	-0.130179	13.210014	-15.856799	20.638376	-0.876206
  9	  1	  1	  0	 0.029599	 0.001745	 3.605391	 0.212579	 3.611653	 0.058893
 10	 -1	  1	  0	-0.045795	 0.102079	-5.578145	12.434029	13.627941	 1.992501
 11	 -2	  0	  0	 0.005787	 0.087780	 0.704957	10.692256	10.715471	 1.504960
 12	  2	  0	  0	 0.005787	-0.087780	 0.704957	-10.692256	10.715471	-1.504960
