index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.029720	 0.000000	-3.620140	 0.000000	 3.620140	 3.141593
  1	  0	  1	  0	 0.060966	 0.033191	 7.426074	 4.042960	 8.455300	 0.498555
  2	  0	 -1	  0	 0.060966	-0.033191	 7.426074	-4.042960	 8.455300	-0.498555
  3	  1	  0	  0	 0.054681	-0.026165	 6.660541	-3.187147	 7.383814	-0.446310
  4	 -1	  0	  0	 0.054681	 0.026165	 6.660541	 3.187147	 7.383814	 0.446310
  5	  0	 -2	  0	-0.104038	 0.097291	-12.672636	11.850814	17.350432	 2.389694
  6	  1	 -1	  0	-0.071443	 0.055336	-8.702308	 6.740369	11.007395	 2.482564
  7	 -1	 -1	  0	 0.006614	-0.014413	 0.805609	-1.755605	 1.931619	-1.140584
  8	  0	  2	  0	-0.104038	-0.097291	-12.672636	-11.850814	17.350432	-2.389694
  9	  1	  1	  0	 0.006614	 0.014413	 0.805609	 1.755605	 1.931619	 1.140584
 10	 -1	  1	  0	-0.071443	-0.055336	-8.702308	-6.740369	11.007395	-2.482564
 11	 -2	  0	  0	 0.088682	-0.024958	10.802093	-3.040058	11.221727	-0.274336
 12	  2	  0	  0	 0.088682	 0.024958	10.802093	 3.040058	11.221727	 0.274336
