index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.143224	 0.000000	-17.445765	 0.000000	17.445765	 3.141593
  1	  0	  1	  0	 0.053233	 0.057551	 6.484178	 7.010174	 9.549194	 0.824357
  2	  0	 -1	  0	 0.053233	-0.057551	 6.484178	-7.010174	 9.549194	-0.824357
  3	  1	  0	  0	 0.072982	 0.053656	 8.889753	 6.535670	11.033707	 0.633956
  4	 -1	  0	  0	 0.072982	-0.053656	 8.889753	-6.535670	11.033707	-0.633956
  5	  0	 -2	  0	 0.065245	-0.012521	 7.947390	-1.525202	 8.092419	-0.189607
  6	  1	 -1	  0	-0.092788	 0.096492	-11.302222	11.753437	16.305934	 2.336626
  7	 -1	 -1	  0	 0.064981	 0.110886	 7.915196	13.506766	15.655129	 1.040722
  8	  0	  2	  0	 0.065245	 0.012521	 7.947390	 1.525202	 8.092419	 0.189607
  9	  1	  1	  0	 0.064981	-0.110886	 7.915196	-13.506766	15.655129	-1.040722
 10	 -1	  1	  0	-0.092788	-0.096492	-11.302222	-11.753437	16.305934	-2.336626
 11	 -2	  0	  0	-0.128211	-0.134469	-15.617108	-16.379319	22.631309	-2.332377
 12	  2	  0	  0	-0.128211	 0.134469	-15.617108	16.379319	22.631309	 2.332377
