index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.028211	 0.000000	-3.436301	 0.000000	 3.436301	 3.141593
  1	  0	  1	  0	 0.071746	 0.115463	 8.739175	14.064308	16.558320	 1.014810
  2	  0	 -1	  0	 0.071746	-0.115463	 8.739175	-14.064308	16.558320	-1.014810
  3	  1	  0	  0	 0.125204	 0.086750	15.250841	10.566795	18.553849	 0.605922
  4	 -1	  0	  0	 0.125204	-0.086750	15.250841	-10.566795	18.553849	-0.605922
  5	  0	 -2	  0	-0.110393	 0.021989	-13.446721	 2.678404	13.710878	 2.944980
  6	  1	 -1	  0	 0.063129	 0.095192	 7.689591	11.595134	13.913193	 0.985216
  7	 -1	 -1	  0	 0.006528	 0.088195	 0.795166	10.742838	10.772226	 1.496913
  8	  0	  2	  0	-0.110393	-0.021989	-13.446721	-2.678404	13.710878	-2.944980
  9	  1	  1	  0	 0.006528	-0.088195	 0.795166	-10.742838	10.772226	-1.496913
 10	 -1	  1	  0	 0.063129	-0.095192	 7.689591	-11.595134	13.913193	-0.985216
 11	 -2	  0	  0	 0.026272	 0.063416	 3.200096	 7.724546	 8.361173	 1.178044
 12	  2	  0	  0	 0.026272	-0.063416	 3.200096	-7.724546	 8.361173	-1.178044
