index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.190852	 0.000000	-23.247217	 0.000000	23.247217	 3.141593
  1	  0	  1	  0	 0.126099	-0.086858	15.359799	-10.579926	18.650959	-0.603174
  2	  0	 -1	  0	 0.126099	 0.086858	15.359799	10.579926	18.650959	 0.603174
  3	  1	  0	  0	-0.106522	-0.095813	-12.975223	-11.670741	17.451723	-2.409074
  4	 -1	  0	  0	-0.106522	 0.095813	-12.975223	11.670741	17.451723	 2.409074
  5	  0	 -2	  0	-0.164865	 0.004412	-20.081858	 0.537475	20.089050	 3.114835
  6	  1	 -1	  0	-0.145553	 0.043095	-17.729450	 5.249276	18.490222	 2.853739
  7	 -1	 -1	  0	 0.021388	 0.111708	 2.605161	13.606864	13.854011	 1.381626
  8	  0	  2	  0	-0.164865	-0.004412	-20.081858	-0.537475	20.089050	-3.114835
  9	  1	  1	  0	 0.021388	-0.111708	 2.605161	-13.606864	13.854011	-1.381626
 10	 -1	  1	  0	-0.145553	-0.043095	-17.729450	-5.249276	18.490222	-2.853739
 11	 -2	  0	  0	-0.105567	 0.003952	-12.858897	 0.481428	12.867906	 3.104171
 12	  2	  0	  0	-0.105567	-0.003952	-12.858897	-0.481428	12.867906	-3.104171
