index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	5	71.6189	-12	0	-70.00000	 0.00000
1	5	71.6104	-11	-4	-64.16667	-23.33333
2	5	71.6019	-11	-3	-64.16667	-17.50000
3	5	71.5957	-11	-2	-64.16667	-11.66667
4	5	71.5921	-11	-1	-64.16667	-5.83333
5	5	71.5908	-11	0	-64.16667	 0.00000
6	5	71.5921	-11	1	-64.16667	 5.83333
7	5	71.5957	-11	2	-64.16667	11.66667
8	5	71.6019	-11	3	-64.16667	17.50000
9	5	71.6104	-11	4	-64.16667	23.33333
10	5	71.6092	-10	-6	-58.33333	-35.00000
11	5	71.5958	-10	-5	-58.33333	-29.16667
12	5	71.5848	-10	-4	-58.33333	-23.33333
13	5	71.5762	-10	-3	-58.33333	-17.50000
14	5	71.5701	-10	-2	-58.33333	-11.66667
15	5	71.5665	-10	-1	-58.33333	-5.83333
16	5	71.5652	-10	0	-58.33333	 0.00000
17	5	71.5665	-10	1	-58.33333	 5.83333
18	5	71.5701	-10	2	-58.33333	11.66667
19	5	71.5762	-10	3	-58.33333	17.50000
20	5	71.5848	-10	4	-58.33333	23.33333
21	5	71.5958	-10	5	-58.33333	29.16667
22	5	71.6092	-10	6	-58.33333	35.00000
23	5	71.6019	-9	-7	-52.50000	-40.83333
24	5	71.5861	-9	-6	-52.50000	-35.00000
25	5	71.5726	-9	-5	-52.50000	-29.16667
26	5	71.5616	-9	-4	-52.50000	-23.33333
27	5	71.5531	-9	-3	-52.50000	-17.50000
28	5	71.547	-9	-2	-52.50000	-11.66667
29	5	71.5433	-9	-1	-52.50000	-5.83333
30	5	71.5421	-9	0	-52.50000	 0.00000
31	5	71.5433	-9	1	-52.50000	 5.83333
32	5	71.547	-9	2	-52.50000	11.66667
33	5	71.5531	-9	3	-52.50000	17.50000
34	5	71.5616	-9	4	-52.50000	23.33333
35	5	71.5726	-9	5	-52.50000	29.16667
36	5	71.5861	-9	6	-52.50000	35.00000
37	5	71.6019	-9	7	-52.50000	40.83333
38	5	71.5995	-8	-8	-46.66667	-46.66667
39	5	71.5812	-8	-7	-46.66667	-40.83333
40	5	71.5653	-8	-6	-46.66667	-35.00000
41	5	71.5519	-8	-5	-46.66667	-29.16667
42	5	71.5409	-8	-4	-46.66667	-23.33333
43	5	71.5324	-8	-3	-46.66667	-17.50000
44	5	71.5263	-8	-2	-46.66667	-11.66667
45	5	71.5226	-8	-1	-46.66667	-5.83333
46	5	71.5214	-8	0	-46.66667	 0.00000
47	5	71.5226	-8	1	-46.66667	 5.83333
48	5	71.5263	-8	2	-46.66667	11.66667
49	5	71.5324	-8	3	-46.66667	17.50000
50	5	71.5409	-8	4	-46.66667	23.33333
51	5	71.5519	-8	5	-46.66667	29.16667
52	5	71.5653	-8	6	-46.66667	35.00000
53	5	71.5812	-8	7	-46.66667	40.83333
54	5	71.5995	-8	8	-46.66667	46.66667
55	5	71.6019	-7	-9	-40.83333	-52.50000
56	5	71.5812	-7	-8	-40.83333	-46.66667
57	5	71.5629	-7	-7	-40.83333	-40.83333
58	5	71.547	-7	-6	-40.83333	-35.00000
59	5	71.5336	-7	-5	-40.83333	-29.16667
60	5	71.5226	-7	-4	-40.83333	-23.33333
61	5	71.5141	-7	-3	-40.83333	-17.50000
62	5	71.508	-7	-2	-40.83333	-11.66667
63	5	71.5043	-7	-1	-40.83333	-5.83333
64	5	71.5031	-7	0	-40.83333	 0.00000
65	5	71.5043	-7	1	-40.83333	 5.83333
66	5	71.508	-7	2	-40.83333	11.66667
67	5	71.5141	-7	3	-40.83333	17.50000
68	5	71.5226	-7	4	-40.83333	23.33333
69	5	71.5336	-7	5	-40.83333	29.16667
70	5	71.547	-7	6	-40.83333	35.00000
71	5	71.5629	-7	7	-40.83333	40.83333
72	5	71.5812	-7	8	-40.83333	46.66667
73	5	71.6019	-7	9	-40.83333	52.50000
74	5	71.6092	-6	-10	-35.00000	-58.33333
75	5	71.5861	-6	-9	-35.00000	-52.50000
76	5	71.5653	-6	-8	-35.00000	-46.66667
77	5	71.547	-6	-7	-35.00000	-40.83333
78	5	71.5312	-6	-6	-35.00000	-35.00000
79	5	71.5178	-6	-5	-35.00000	-29.16667
80	5	71.5068	-6	-4	-35.00000	-23.33333
81	5	71.4983	-6	-3	-35.00000	-17.50000
82	5	71.4922	-6	-2	-35.00000	-11.66667
83	5	71.4885	-6	-1	-35.00000	-5.83333
84	5	71.4873	-6	0	-35.00000	 0.00000
85	5	71.4885	-6	1	-35.00000	 5.83333
86	5	71.4922	-6	2	-35.00000	11.66667
87	5	71.4983	-6	3	-35.00000	17.50000
88	5	71.5068	-6	4	-35.00000	23.33333
89	5	71.5178	-6	5	-35.00000	29.16667
90	5	71.5312	-6	6	-35.00000	35.00000
91	5	71.547	-6	7	-35.00000	40.83333
92	5	71.5653	-6	8	-35.00000	46.66667
93	5	71.5861	-6	9	-35.00000	52.50000
94	5	71.6092	-6	10	-35.00000	58.33333
95	5	71.5958	-5	-10	-29.16667	-58.33333
96	5	71.5726	-5	-9	-29.16667	-52.50000
97	5	71.5519	-5	-8	-29.16667	-46.66667
98	5	71.5336	-5	-7	-29.16667	-40.83333
99	5	71.5178	-5	-6	-29.16667	-35.00000
100	5	71.5044	-5	-5	-29.16667	-29.16667
101	5	71.4934	-5	-4	-29.16667	-23.33333
102	5	71.4849	-5	-3	-29.16667	-17.50000
103	5	71.4788	-5	-2	-29.16667	-11.66667
104	5	71.4751	-5	-1	-29.16667	-5.83333
105	5	71.4739	-5	0	-29.16667	 0.00000
106	5	71.4751	-5	1	-29.16667	 5.83333
107	5	71.4788	-5	2	-29.16667	11.66667
108	5	71.4849	-5	3	-29.16667	17.50000
109	5	71.4934	-5	4	-29.16667	23.33333
110	5	71.5044	-5	5	-29.16667	29.16667
111	5	71.5178	-5	6	-29.16667	35.00000
112	5	71.5336	-5	7	-29.16667	40.83333
113	5	71.5519	-5	8	-29.16667	46.66667
114	5	71.5726	-5	9	-29.16667	52.50000
115	5	71.5958	-5	10	-29.16667	58.33333
116	5	71.6104	-4	-11	-23.33333	-64.16667
117	5	71.5848	-4	-10	-23.33333	-58.33333
118	5	71.5616	-4	-9	-23.33333	-52.50000
119	5	71.5409	-4	-8	-23.33333	-46.66667
120	5	71.5226	-4	-7	-23.33333	-40.83333
121	5	71.5068	-4	-6	-23.33333	-35.00000
122	5	71.4934	-4	-5	-23.33333	-29.16667
123	5	71.4824	-4	-4	-23.33333	-23.33333
124	5	71.4739	-4	-3	-23.33333	-17.50000
125	5	71.4678	-4	-2	-23.33333	-11.66667
126	5	71.4642	-4	-1	-23.33333	-5.83333
127	5	71.463	-4	0	-23.33333	 0.00000
128	5	71.4642	-4	1	-23.33333	 5.83333
129	5	71.4678	-4	2	-23.33333	11.66667
130	5	71.4739	-4	3	-23.33333	17.50000
131	5	71.4824	-4	4	-23.33333	23.33333
132	5	71.4934	-4	5	-23.33333	29.16667
133	5	71.5068	-4	6	-23.33333	35.00000
134	5	71.5226	-4	7	-23.33333	40.83333
135	5	71.5409	-4	8	-23.33333	46.66667
136	5	71.5616	-4	9	-23.33333	52.50000
137	5	71.5848	-4	10	-23.33333	58.33333
138	5	71.6104	-4	11	-23.33333	64.16667
139	5	71.6019	-3	-11	-17.50000	-64.16667
140	5	71.5762	-3	-10	-17.50000	-58.33333
141	5	71.5531	-3	-9	-17.50000	-52.50000
142	5	71.5324	-3	-8	-17.50000	-46.66667
143	5	71.5141	-3	-7	-17.50000	-40.83333
144	5	71.4983	-3	-6	-17.50000	-35.00000
145	5	71.4849	-3	-5	-17.50000	-29.16667
146	5	71.4739	-3	-4	-17.50000	-23.33333
147	5	71.4654	-3	-3	-17.50000	-17.50000
148	5	71.4593	-3	-2	-17.50000	-11.66667
149	5	71.4557	-3	-1	-17.50000	-5.83333
150	5	71.4545	-3	0	-17.50000	 0.00000
151	5	71.4557	-3	1	-17.50000	 5.83333
152	5	71.4593	-3	2	-17.50000	11.66667
153	5	71.4654	-3	3	-17.50000	17.50000
154	5	71.4739	-3	4	-17.50000	23.33333
155	5	71.4849	-3	5	-17.50000	29.16667
156	5	71.4983	-3	6	-17.50000	35.00000
157	5	71.5141	-3	7	-17.50000	40.83333
158	5	71.5324	-3	8	-17.50000	46.66667
159	5	71.5531	-3	9	-17.50000	52.50000
160	5	71.5762	-3	10	-17.50000	58.33333
161	5	71.6019	-3	11	-17.50000	64.16667
162	5	71.5957	-2	-11	-11.66667	-64.16667
163	5	71.5701	-2	-10	-11.66667	-58.33333
164	5	71.547	-2	-9	-11.66667	-52.50000
165	5	71.5263	-2	-8	-11.66667	-46.66667
166	5	71.508	-2	-7	-11.66667	-40.83333
167	5	71.4922	-2	-6	-11.66667	-35.00000
168	5	71.4788	-2	-5	-11.66667	-29.16667
169	5	71.4678	-2	-4	-11.66667	-23.33333
170	5	71.4593	-2	-3	-11.66667	-17.50000
171	5	71.4532	-2	-2	-11.66667	-11.66667
172	5	71.4496	-2	-1	-11.66667	-5.83333
173	5	71.4484	-2	0	-11.66667	 0.00000
174	5	71.4496	-2	1	-11.66667	 5.83333
175	5	71.4532	-2	2	-11.66667	11.66667
176	5	71.4593	-2	3	-11.66667	17.50000
177	5	71.4678	-2	4	-11.66667	23.33333
178	5	71.4788	-2	5	-11.66667	29.16667
179	5	71.4922	-2	6	-11.66667	35.00000
180	5	71.508	-2	7	-11.66667	40.83333
181	5	71.5263	-2	8	-11.66667	46.66667
182	5	71.547	-2	9	-11.66667	52.50000
183	5	71.5701	-2	10	-11.66667	58.33333
184	5	71.5957	-2	11	-11.66667	64.16667
185	5	71.5921	-1	-11	-5.83333	-64.16667
186	5	71.5665	-1	-10	-5.83333	-58.33333
187	5	71.5433	-1	-9	-5.83333	-52.50000
188	5	71.5226	-1	-8	-5.83333	-46.66667
189	5	71.5043	-1	-7	-5.83333	-40.83333
190	5	71.4885	-1	-6	-5.83333	-35.00000
191	5	71.4751	-1	-5	-5.83333	-29.16667
192	5	71.4642	-1	-4	-5.83333	-23.33333
193	5	71.4557	-1	-3	-5.83333	-17.50000
194	5	71.4496	-1	-2	-5.83333	-11.66667
