index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.091602	 0.000000	11.157860	 0.000000	11.157860	 0.000000
  1	  0	  1	  0	-0.038403	 0.169536	-4.677795	20.650823	21.174000	 1.793556
  2	  0	 -1	  0	-0.038403	-0.169536	-4.677795	-20.650823	21.174000	-1.793556
  3	  1	  0	  0	 0.096778	-0.121744	11.788349	-14.829337	18.943981	-0.899152
  4	 -1	  0	  0	 0.096778	 0.121744	11.788349	14.829337	18.943981	 0.899152
  5	  0	 -2	  0	-0.128016	 0.006122	-15.593362	 0.745692	15.611182	 3.093808
  6	  1	 -1	  0	 0.086434	-0.039934	10.528278	-4.864275	11.597664	-0.432805
  7	 -1	 -1	  0	 0.075452	 0.004173	 9.190596	 0.508313	 9.204642	 0.055252
  8	  0	  2	  0	-0.128016	-0.006122	-15.593362	-0.745692	15.611182	-3.093808
  9	  1	  1	  0	 0.075452	-0.004173	 9.190596	-0.508313	 9.204642	-0.055252
 10	 -1	  1	  0	 0.086434	 0.039934	10.528278	 4.864275	11.597664	 0.432805
 11	 -2	  0	  0	-0.085075	-0.078339	-10.362817	-9.542299	14.086995	-2.397393
 12	  2	  0	  0	-0.085075	 0.078339	-10.362817	 9.542299	14.086995	 2.397393
