index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	5	89.0226	-12	0	-70.00000	 0.00000
1	5	89.0121	-11	-4	-64.16667	-23.33333
2	5	89.0014	-11	-3	-64.16667	-17.50000
3	5	88.9938	-11	-2	-64.16667	-11.66667
4	5	88.9893	-11	-1	-64.16667	-5.83333
5	5	88.9877	-11	0	-64.16667	 0.00000
6	5	88.9893	-11	1	-64.16667	 5.83333
7	5	88.9938	-11	2	-64.16667	11.66667
8	5	89.0014	-11	3	-64.16667	17.50000
9	5	89.0121	-11	4	-64.16667	23.33333
10	5	89.0106	-10	-6	-58.33333	-35.00000
11	5	88.9939	-10	-5	-58.33333	-29.16667
12	5	88.9802	-10	-4	-58.33333	-23.33333
13	5	88.9696	-10	-3	-58.33333	-17.50000
14	5	88.962	-10	-2	-58.33333	-11.66667
15	5	88.9574	-10	-1	-58.33333	-5.83333
16	5	88.9559	-10	0	-58.33333	 0.00000
17	5	88.9574	-10	1	-58.33333	 5.83333
18	5	88.962	-10	2	-58.33333	11.66667
19	5	88.9696	-10	3	-58.33333	17.50000
20	5	88.9802	-10	4	-58.33333	23.33333
21	5	88.9939	-10	5	-58.33333	29.16667
22	5	89.0106	-10	6	-58.33333	35.00000
23	5	89.0015	-9	-7	-52.50000	-40.83333
24	5	88.9818	-9	-6	-52.50000	-35.00000
25	5	88.9651	-9	-5	-52.50000	-29.16667
26	5	88.9514	-9	-4	-52.50000	-23.33333
27	5	88.9408	-9	-3	-52.50000	-17.50000
28	5	88.9332	-9	-2	-52.50000	-11.66667
29	5	88.9286	-9	-1	-52.50000	-5.83333
30	5	88.9271	-9	0	-52.50000	 0.00000
31	5	88.9286	-9	1	-52.50000	 5.83333
32	5	88.9332	-9	2	-52.50000	11.66667
33	5	88.9408	-9	3	-52.50000	17.50000
34	5	88.9514	-9	4	-52.50000	23.33333
35	5	88.9651	-9	5	-52.50000	29.16667
36	5	88.9818	-9	6	-52.50000	35.00000
37	5	89.0015	-9	7	-52.50000	40.83333
38	5	88.9985	-8	-8	-46.66667	-46.66667
39	5	88.9757	-8	-7	-46.66667	-40.83333
40	5	88.956	-8	-6	-46.66667	-35.00000
41	5	88.9393	-8	-5	-46.66667	-29.16667
42	5	88.9257	-8	-4	-46.66667	-23.33333
43	5	88.915	-8	-3	-46.66667	-17.50000
44	5	88.9075	-8	-2	-46.66667	-11.66667
45	5	88.9029	-8	-1	-46.66667	-5.83333
46	5	88.9014	-8	0	-46.66667	 0.00000
47	5	88.9029	-8	1	-46.66667	 5.83333
48	5	88.9075	-8	2	-46.66667	11.66667
49	5	88.915	-8	3	-46.66667	17.50000
50	5	88.9257	-8	4	-46.66667	23.33333
51	5	88.9393	-8	5	-46.66667	29.16667
52	5	88.956	-8	6	-46.66667	35.00000
53	5	88.9757	-8	7	-46.66667	40.83333
54	5	88.9985	-8	8	-46.66667	46.66667
55	5	89.0015	-7	-9	-40.83333	-52.50000
56	5	88.9757	-7	-8	-40.83333	-46.66667
57	5	88.953	-7	-7	-40.83333	-40.83333
58	5	88.9332	-7	-6	-40.83333	-35.00000
59	5	88.9166	-7	-5	-40.83333	-29.16667
60	5	88.9029	-7	-4	-40.83333	-23.33333
61	5	88.8923	-7	-3	-40.83333	-17.50000
62	5	88.8848	-7	-2	-40.83333	-11.66667
63	5	88.8802	-7	-1	-40.83333	-5.83333
64	5	88.8787	-7	0	-40.83333	 0.00000
65	5	88.8802	-7	1	-40.83333	 5.83333
66	5	88.8848	-7	2	-40.83333	11.66667
67	5	88.8923	-7	3	-40.83333	17.50000
68	5	88.9029	-7	4	-40.83333	23.33333
69	5	88.9166	-7	5	-40.83333	29.16667
70	5	88.9332	-7	6	-40.83333	35.00000
71	5	88.953	-7	7	-40.83333	40.83333
72	5	88.9757	-7	8	-40.83333	46.66667
73	5	89.0015	-7	9	-40.83333	52.50000
74	5	89.0106	-6	-10	-35.00000	-58.33333
75	5	88.9818	-6	-9	-35.00000	-52.50000
