index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.036000	 0.000000	 4.385120	 0.000000	 4.385120	 0.000000
  1	  0	  1	  0	-0.084059	-0.014058	-10.239049	-1.712417	10.381257	-2.975883
  2	  0	 -1	  0	-0.084059	 0.014058	-10.239049	 1.712417	10.381257	 2.975883
  3	  1	  0	  0	-0.168382	-0.033931	-20.510145	-4.133057	20.922433	-2.942743
  4	 -1	  0	  0	-0.168382	 0.033931	-20.510145	 4.133057	20.922433	 2.942743
  5	  0	 -2	  0	 0.042044	 0.157526	 5.121234	19.187863	19.859535	 1.309976
  6	  1	 -1	  0	-0.051265	-0.011877	-6.244426	-1.446668	 6.409813	-2.913936
  7	 -1	 -1	  0	-0.105669	-0.131678	-12.871268	-16.039408	20.565315	-2.247046
  8	  0	  2	  0	 0.042044	-0.157526	 5.121234	-19.187863	19.859535	-1.309976
  9	  1	  1	  0	-0.105669	 0.131678	-12.871268	16.039408	20.565315	 2.247046
 10	 -1	  1	  0	-0.051265	 0.011877	-6.244426	 1.446668	 6.409813	 2.913936
 11	 -2	  0	  0	 0.003046	 0.035936	 0.371015	 4.377239	 4.392935	 1.486238
 12	  2	  0	  0	 0.003046	-0.035936	 0.371015	-4.377239	 4.392935	-1.486238
