index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.024196	 0.000000	-2.947216	 0.000000	 2.947216	 3.141593
  1	  0	  1	  0	 0.023663	-0.057867	 2.882367	-7.048592	 7.615161	-1.182617
  2	  0	 -1	  0	 0.023663	 0.057867	 2.882367	 7.048592	 7.615161	 1.182617
  3	  1	  0	  0	-0.029899	-0.060170	-3.641954	-7.329198	 8.184190	-2.031969
  4	 -1	  0	  0	-0.029899	 0.060170	-3.641954	 7.329198	 8.184190	 2.031969
  5	  0	 -2	  0	 0.055793	 0.017370	 6.795978	 2.115856	 7.117736	 0.301827
  6	  1	 -1	  0	-0.074800	 0.000209	-9.111267	 0.025462	 9.111303	 3.138798
  7	 -1	 -1	  0	 0.170532	-0.066695	20.772089	-8.123975	22.304230	-0.372811
  8	  0	  2	  0	 0.055793	-0.017370	 6.795978	-2.115856	 7.117736	-0.301827
  9	  1	  1	  0	 0.170532	 0.066695	20.772089	 8.123975	22.304230	 0.372811
 10	 -1	  1	  0	-0.074800	-0.000209	-9.111267	-0.025462	 9.111303	-3.138798
 11	 -2	  0	  0	 0.058776	 0.041813	 7.159329	 5.093153	 8.786137	 0.618337
 12	  2	  0	  0	 0.058776	-0.041813	 7.159329	-5.093153	 8.786137	-0.618337
