index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.181479	 0.000000	-22.105477	 0.000000	22.105477	 3.141593
  1	  0	  1	  0	 0.030810	 0.174786	 3.752940	21.290283	21.618527	 1.396314
  2	  0	 -1	  0	 0.030810	-0.174786	 3.752940	-21.290283	21.618527	-1.396314
  3	  1	  0	  0	-0.084293	-0.012651	-10.267577	-1.540932	10.382563	-2.992627
  4	 -1	  0	  0	-0.084293	 0.012651	-10.267577	 1.540932	10.382563	 2.992627
  5	  0	 -2	  0	 0.052489	 0.002845	 6.393598	 0.346590	 6.402985	 0.054156
  6	  1	 -1	  0	-0.049662	 0.050140	-6.049226	 6.107401	 8.596132	 2.351409
  7	 -1	 -1	  0	 0.023061	 0.039152	 2.809041	 4.768998	 5.534804	 1.038489
  8	  0	  2	  0	 0.052489	-0.002845	 6.393598	-0.346590	 6.402985	-0.054156
  9	  1	  1	  0	 0.023061	-0.039152	 2.809041	-4.768998	 5.534804	-1.038489
 10	 -1	  1	  0	-0.049662	-0.050140	-6.049226	-6.107401	 8.596132	-2.351409
 11	 -2	  0	  0	 0.100723	-0.085720	12.268774	-10.441339	16.110381	-0.705103
 12	  2	  0	  0	 0.100723	 0.085720	12.268774	10.441339	16.110381	 0.705103
