index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
 55	  0	  2	 -2	-0.014798	-0.005168	-1.861517	-0.650120	 1.971776	-2.805593
 56	  1	  1	 -2	 0.033237	 0.012138	 4.181076	 1.526845	 4.451140	 0.350134
 57	 -1	  2	 -1	 0.000000	 0.000000	 0.000008	 0.000020	 0.000022	 1.211708
 58	  0	  2	  2	-0.014798	 0.005168	-1.861517	 0.650120	 1.971776	 2.805593
 59	  1	  1	  2	 0.033237	-0.012138	 4.181076	-1.526843	 4.451140	-0.350133
 60	 -1	  2	  2	 0.033237	-0.012138	 4.181075	-1.526845	 4.451140	-0.350134
 61	 -2	  0	  0	-0.022699	-0.000000	-2.855437	-0.000000	 2.855437	-3.141593
 62	 -2	  0	  1	-0.006980	 0.019813	-0.878026	 2.492368	 2.642504	 1.909506
 63	 -2	  1	  0	 0.052905	-0.000000	 6.655177	-0.000000	 6.655177	-0.000000
 64	 -2	  1	  1	-0.000000	 0.000000	-0.000008	 0.000020	 0.000022	 1.926032
 65	 -1	  0	 -2	-0.022685	-0.008878	-2.853665	-1.116806	 3.064419	-2.768558
 66	 -1	  1	 -2	-0.022685	-0.008878	-2.853695	-1.116818	 3.064451	-2.768558
 67	 -1	 -1	 -2	 0.033237	 0.012138	 4.181076	 1.526843	 4.451140	 0.350133
 68	 -2	  0	 -1	 0.006980	 0.019813	 0.878026	 2.492368	 2.642504	 1.232087
 69	 -2	  1	 -1	 0.000000	 0.000000	 0.000007	 0.000022	 0.000023	 1.241960
 70	 -2	  0	  2	-0.014797	 0.005167	-1.861339	 0.650031	 1.971579	 2.805606
 71	 -2	  1	  2	 0.033234	-0.012136	 4.180724	-1.526673	 4.450751	-0.350124
 72	 -2	  2	  0	-0.022699	 0.000000	-2.855376	 0.000000	 2.855376	 3.141593
 73	 -2	  2	  1	 0.006980	-0.019813	 0.878032	-2.492386	 2.642523	-1.232087
 74	 -1	  2	 -2	 0.033237	 0.012138	 4.181075	 1.526844	 4.451140	 0.350134
 75	 -2	  2	 -1	-0.006980	-0.019813	-0.878032	-2.492386	 2.642524	-1.909506
 76	 -2	  2	  2	-0.014796	 0.005167	-1.861299	 0.650017	 1.971537	 2.805606
 77	  2	  0	  0	-0.022699	 0.000000	-2.855437	 0.000000	 2.855437	 3.141593
 78	  2	  0	  1	 0.006980	-0.019813	 0.878026	-2.492368	 2.642504	-1.232087
 79	  2	  0	 -1	-0.006980	-0.019813	-0.878026	-2.492368	 2.642504	-1.909506
 80	  2	 -1	  0	 0.052905	 0.000000	 6.655177	 0.000000	 6.655177	 0.000000
 81	  2	 -1	  1	 0.000000	-0.000000	 0.000007	-0.000022	 0.000023	-1.241960
 82	  2	 -1	 -1	-0.000000	-0.000000	-0.000008	-0.000020	 0.000022	-1.926032
 83	  2	  0	 -2	-0.014797	-0.005167	-1.861339	-0.650031	 1.971579	-2.805606
 84	  2	 -1	 -2	 0.033234	 0.012136	 4.180724	 1.526673	 4.450751	 0.350124
 85	  2	 -2	  0	-0.022699	 0.000000	-2.855376	 0.000000	 2.855376	 3.141593
 86	  2	 -2	  1	-0.006980	 0.019813	-0.878032	 2.492386	 2.642524	 1.909506
 87	  2	 -2	 -1	 0.006980	 0.019813	 0.878032	 2.492386	 2.642523	 1.232087
 88	  2	 -2	 -2	-0.014796	-0.005167	-1.861299	-0.650017	 1.971537	-2.805606
 89	 -2	  1	 -2	 0.033234	 0.012136	 4.180724	 1.526673	 4.450751	 0.350124
 90	 -2	  2	 -2	-0.014796	-0.005167	-1.861299	-0.650016	 1.971537	-2.805606
 91	  2	 -1	  2	 0.033234	-0.012136	 4.180724	-1.526673	 4.450751	-0.350124
 92	  2	 -2	  2	-0.014796	 0.005167	-1.861299	 0.650016	 1.971537	 2.805606
 93	 -2	  0	 -2	-0.014797	-0.005167	-1.861339	-0.650032	 1.971579	-2.805606
 94	  2	  0	  2	-0.014797	 0.005167	-1.861339	 0.650032	 1.971579	 2.805606
