0	2	1	6	8	7	3	5	4	15	24	16	17	25	18	9	11	10	12	14	
1	0	26	7	6	28	4	3	27	16	15	31	18	17	32	10	9	29	13	12	
2	19	0	8	21	6	5	20	3	24	65	15	25	66	17	11	22	9	14	23	
3	5	4	0	2	1	47	49	48	17	25	18	53	57	54	50	52	51	9	11	
4	3	27	1	0	26	48	47	58	18	17	32	54	53	60	51	50	59	10	9	
5	20	3	2	19	0	49	55	47	25	66	17	57	74	53	52	56	50	11	22	
6	8	7	33	35	34	0	2	1	39	43	40	15	24	16	12	14	13	36	38	
7	6	28	34	33	44	1	0	26	40	39	46	16	15	31	13	12	30	37	36	
8	21	6	35	41	33	2	19	0	43	67	39	24	65	15	14	23	12	38	42	
9	11	10	12	14	13	50	52	51	0	2	1	3	5	4	77	79	78	80	82	
10	9	29	13	12	30	51	50	59	1	0	26	4	3	27	78	77	94	81	80	
11	22	9	14	23	12	52	56	50	2	19	0	5	20	3	79	83	77	82	84	
12	14	13	36	38	37	9	11	10	6	8	7	0	2	1	80	82	81	85	87	
13	12	30	37	36	45	10	9	29	7	6	28	1	0	26	81	80	91	86	85	
14	23	12	38	42	36	11	22	9	8	21	6	2	19	0	82	84	80	87	88	
15	24	16	39	43	40	17	25	18	61	68	62	63	69	64	0	2	1	6	8	
16	15	31	40	39	46	18	17	32	62	61	70	64	63	71	1	0	26	7	6	
24	65	15	43	67	39	25	66	17	68	93	61	69	89	63	2	19	0	8	21	
17	25	18	15	24	16	53	57	54	63	69	64	72	75	73	3	5	4	0	2	
18	17	32	16	15	31	54	53	60	64	63	71	73	72	76	4	3	27	1	0	
